drug1,drug2,cell,label
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000028,-3.2243777058439904
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000035,-10.489100241906304
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000097,-1.1159515847786592
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000115,-3.3266997335802104
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000147,-1.978065907296203
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000219,-30.2453700912459
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000291,-6.9678536202662205
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000311,0.16115076749801388
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000322,-3.66837571916786
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000348,-4.97629701892033
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000395,-3.767547823948963
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000421,3.13666096232303
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000425,-6.092896176462361
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000463,-4.56742453147303
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000552,-4.23154010368571
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000573,-5.4778789808571196
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000657,6.845928503106868
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000665,-7.755813645751507
B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,C1CCC(C(C1)N)N.C(=O)(C(=O)[O-])[O-].[Pt+2],ACH-000713,-3.8528290435076498
